English,Telugu,Swahili,Hindi,Arabic
Where is your pain?,మీ నొప్పి ఎక్కడ ఉంది?  ,Maumivu yako wapi?,आपका दर्द कहां है?,أين ألمك؟
When did the pain start?,నొప్పి ఎప్పుడు మొదలైంది?,Maumivu yalianza wakati gani?,दर्द कब शुरू हुआ?,متى بدأ الألم؟
Can you describe the pain?,నొప్పిని వర్ణించగలవా?,Unaweza kufafanua uchungu uliosikia?,क्या आप दर्द का वर्णन कर सकते हैं?,هل يمكنك وصف الألم؟
"On a scale of 1-10, how severe is the pain?","1-10 స్కేల్‌లో, నొప్పి ఎంత తీవ్రంగా ఉంటుంది?","Kwa kiwango cha 1-10, maumivu ni makali kiasi gani?","1-10 के पैमाने पर, दर्द कितना गंभीर है?",على مقياس من 1-10 ، ما مدى شدة الألم؟
Is the pain getting worse?,నొప్పి ఎక్కువైందా?,"Je, maumivu yanazidi kuwa mabaya?",क्या दर्द बदतर हो रहा है?,هل يزداد الألم سوءا؟
Is it paining more?," ""మరింత నొప్పిగా ఉందా?""","Je, ni maumivu zaidi?",क्या यह अधिक दर्द है?,هل هو مؤلم أكثر؟
What makes the pain better?,ఏది నొప్పిని మెరుగుపరుస్తుంది?,Ni nini kinachofanya maumivu kuwa bora zaidi?,क्या दर्द को बेहतर बनाता है?,ما الذي يجعل الألم أفضل؟
Are you having any other symptoms?,మీకు ఇతర లక్షణాలు ఏమైనా ఉన్నాయా?,"Je, una dalili nyingine?",क्या आपके पास कोई अन्य लक्षण हैं?,هل لديك أي أعراض أخرى؟
Have you had this pain before?,ఇప్పుడు ఉండే దుక్కం మీకు ఇంకా ముందు వచ్చేసిందియా?,"Je, umewahi kuwa na maumivu haya kabla?",क्या आपको पहले यह दर्द हुआ है?,هل عانيت من هذا الألم من قبل؟
Are you taking any medications?,మీరు ఈ సమయంలో ఇంకెంతెయో ఔషధాలు తిస్తున్నారా?,Unatumia dawa yoyote?,क्या आप कोई दवा ले रहे हैं?,هل تتناول أي أدوية؟
Do you have any allergies?,మీకు ఏదైనా అలర్జీ ఉందా??  ,Una allergy yoyote?,क्या आपको कोई एलर्जी है?,هل لديك أي حساسية؟
Have you ever had surgery?,మీరు ఎప్పుడైనా శస్త్రచికిత్స చేయించుకున్నారా?,Umewahi kufanyiwa upasuaji?,क्या आपने कभी सर्जरी कराई है?,هل خضعت لعملية جراحية من قبل؟
Do you smoke?,మీరు పొగత్రాగుతారా? ,"Je, wewe ni sigara?",क्या आप धूम्रपान करते है?,هل تدخن؟
Do you smoke?,మీరు ధూమపానం చేస్తారా? ,"Je, wewe ni sigara?",क्या आप धूम्रपान करते है?,هل تدخن؟
Do you drink alcohol?,మీరు మందు తాగుతారా?,"Je, unakunywa pombe?",क्या आप शराब पीते हैं?,هل تشرب الكحول؟
Describe your typical diet.,మీ సాధారణ ఆహారాన్ని వివరించండి.,Eleza lishe yako ya kawaida.,अपने विशिष्ट आहार का वर्णन करें।,صف نظامك الغذائي النموذجي.
Tell me about your medical history.,మీ వైద్య చరిత్ర గురించి చెప్పండి.,Tuambie kuhusu historia yako ya matibabu.,मुझे अपने चिकित्सा इतिहास के बारे में बताएं।,أخبرني عن تاريخك الطبي.
Let me take your temperature.,నేను మీ ఉష్ణోగ్రత తీసుకోనివ్వండి.,Niruhusu nichukue joto lako.,मुझे आपका तापमान लेने दें।,دعني أقيس درجة حرارتك.
Your temperature is normal/high/low.,మీ ఉష్ణోగ్రత సాధారణంగా ఉంది / ఎక్కువగా ఉంది / తక్కువగా ఉంది  ,Joto lako ni la kawaida / la juu / chini.,आपका तापमान सामान्य / उच्च / निम्न है।,درجة حرارتك طبيعية / عالية / منخفضة.
Let me take your blood pressure.,మీ బ్లడ్ ప్రెషర్ తీస్కునే వస్తే ఇస్తవా?,Niruhusu nikuongezee shinikizo la damu.,मुझे आपका रक्तचाप लेने दें।,دعني أقيس ضغط دمك.
Let me take your blood pressure.,మీ రక్తపోటు తీసుకోనివ్వండి.,Niruhusu nikuongezee shinikizo la damu.,मुझे आपका रक्तचाप लेने दें।,دعني أقيس ضغط دمك.
Your blood pressure is normal/high/low.,మీ బ్లడ్ ప్రెషర్ సామాన్య ఎక్స్పెండిచర్/తేకువగా ఉంది/తక్కువేగా ఉంది ,Shinikizo lako la damu ni la kawaida / la juu / chini.,आपका रक्तचाप सामान्य / उच्च / निम्न है।,ضغط دمك طبيعي / مرتفع / منخفض.
Let me listen to your breathing.," ""నేను మీ ఊపిరి వినాలనుకుంటున్నాను""",Niruhusu nisikilize pumzi yako.,मुझे तुम्हारी सांस सुनने दो।,دعني أستمع إلى تنفسك.
Tell me if you feel any pain/tenderness.,ఏంతైనా నొప్పి/బలహీనత అనిపిస్తే నాకు చెప్పండి ,Niambie ikiwa unahisi maumivu yoyote / huruma.,मुझे बताएं कि क्या आपको कोई दर्द / कोमलता महसूस होती है।,قل لي إذا كنت تشعر بأي ألم / حنان.
I'm going to take some blood for testing.,పరీక్షల కోసం కొన్ని రక్తాన్ని తీసుకుంటా,Nitachukua damu kwa ajili ya uchunguzi.,मैं परीक्षण के लिए कुछ रक्त लेने जा रहा हूं।,سآخذ بعض الدم للاختبار.
You're going to feel a small pinch.,మీకు స్వల్పమైన నొప్పి అనిపిస్తుంది,Utahisi kuwa na mkunjo mdogo.,आप एक छोटी सी चुटकी महसूस करने जा रहे हैं।,ستشعر بقرصة صغيرة.
